公司名称	公司类型	融资阶段	标签	公司规模	公司所在地	职位类型	学历要求	福利	薪资	工作经验
99	厦门瑞为信息技术有限公司深圳分公司	硬件,移动互联网	B轮	['股票期权', '绩效奖金', '定期体检', '六险一金']	50-150人	南山区	开发/测试/运维类	本科	六险一金,年终奖,绩效奖金,免费晚餐	15k-20k	3-5年
100	信必优(深圳)信息技术有限公司	移动互联网,电子商务	未融资	['节日礼物', '年底双薪', '带薪年假', '年度旅游']	2000人以上	罗湖区	开发/测试/运维类	不限	年终奖,调薪,六险一金,弹性工作	15k-20k	3-5年
101	滴滴优点科技（深圳）有限公司	移动互联网	A轮	['定期体检', '绩效奖金', '领导好', '五险一金']	50-150人	福田区	开发/测试/运维类	本科	五险一金,绩效奖金,带薪年假,发展前景广	10k-20k	3-5年
102	深圳市华宇讯科技有限公司	移动互联网,电子商务	B轮	['技能培训', '股票期权', '五险一金', '弹性工作']	500-2000人	南山区	开发/测试/运维类	本科	年终多薪、发展空间、周末双休	15k-25k	3-5年
103	中国联合网络通信有限公司深圳市分公司	移动互联网,信息安全	上市公司	[]	2000人以上	福田区	开发/测试/运维类	本科	腾讯合作,500强,快速晋升,1元宵夜	20k-40k	3-5年
104	上海海万信息科技股份有限公司	移动互联网,金融	不需要融资	[]	500-2000人	福田区	开发/测试/运维类	大专	晋升空间大,年假,过节费	10k-20k	3-5年
105	深圳市金证科技股份有限公司	金融	上市公司	['激情的团队', '股票期权', '努力变大牛', '有舞台给您跳']	2000人以上	南山区	开发/测试/运维类	本科	上市公司,年度奖金,过节福利,周末双休	15k-25k	3-5年
106	深圳市博悦科创科技有限公司	移动互联网	不需要融资	['年底双薪', '定期体检', '绩效奖金', '技能培训']	500-2000人	南山区	开发/测试/运维类	大专	福利好，项目好，发展好	8k-14k	3-5年
107	深圳市木槿科技有限公司	数据服务	不需要融资	['五险一金', '弹性工作', '绩效奖金', '加班津贴']	50-150人	南山区	开发/测试/运维类	本科	优越待遇,完善福利,和谐氛围,有趣团队	15k-20k	3-5年
108	深圳市博奥特科技有限公司	移动互联网,金融	未融资	['绩效奖金', '领导好', '帅哥多', '美女多']	150-500人	福田区	开发/测试/运维类	不限	金融IT行业	12K-18K	3-5年
109	深圳市思迪信息技术股份有限公司	移动互联网,金融	B轮	['定期体检', '通讯津贴', '带薪年假', '每周双休']	500-2000人	南山区	开发/测试/运维类	大专	五险一金,弹性上班,年度体检,周末双休	19k-25k	5-10年
110	深圳市华云中盛科技有限公司	数据服务,移动互联网	不需要融资	['绩效奖金', '带薪年假', '通讯津贴', '定期体检']	150-500人	南山区	开发/测试/运维类	大专	高级,团队管理	18k-25k	5-10年
111	万惠投资管理有限公司	金融	上市公司	['互联网金融', '技能培训', '带薪年假', '充满挑战']	500-2000人	南山区	开发/测试/运维类	本科	微服务技术,分布式开发,双休,带薪年假	13k-20k	3-5年
